document;siape;das;context
PORTARIA IPEA Nº 15, DE 3 DE FEVEREIRO DE 2023Nº 15;;;Designar o servidor EDSON RAIMUNDO ZACARIAS, Matrícula SIAPE nº XX430XX, para o encargo de substituto eventual do Coordenador de Administração de Pessoal - COADP, código FCE 1.10, da Coordenação-Geral de Gestão de Pessoas - CGPES, da Diretoria de Desenvolvimento Institucional - DIDES, do Instituto de Pesquisa Econômica Aplicada - IPEA, nos afastamentos e impedimentos legais ou regulamentares do titular.
PORTARIA IPEA Nº 20, DE 8 DE FEVEREIRO DE 2023Nº 20;;;Art. 1º Ceder a servidora LUANA SIMÕES PINHEIRO, Matrícula SIAPE nº XX498XX, ocupante do cargo de Técnico de Planejamento e Pesquisa, pertencente ao Quadro de Pessoal da Fundação Instituto de Pesquisa Econômica Aplicada - IPEA, para exercer o cargo comissionado de Diretora do Departamento de Economia do Cuidado, código CCE 115, da Secretaria Nacional de Cuidados e Família, do Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome.
PORTARIA IPEA Nº 19, DE 8 DE FEVEREIRO DE 2023Nº 19;;;Art. 1º Disponibilizar a requisição da servidora TATIANA DIAS SILVA, matrícula nº XX556XX, pertencente ao Quadro de Pessoal do Instituto de Pesquisa Econômica Aplicada - IPEA, para exercer o cargo comissionado de Diretoria de Avaliação, Monitoramento e Gestão da Informação, código CCE 1.15, da Secretaria de Gestão do Sistema Nacional de Promoção da Igualdade Racial, do Ministério da Igualdade Racial.
PORTARIA IPEA Nº 21, DE 10 DE FEVEREIRO DE 2023Nº 21;;;Art. 1º Interromper, no interesse da administração, a partir de 01 de fevereiro de 2023, o afastamento com ônus limitado para participação em Programa de Treinamento de Pós-Graduação strictu sensu a nível de Doutorado do servidor RODRIGO OCTÁVIO ORAIR, ocupante do cargo de Técnico de Planejamento e Pesquisa, Matrícula SIAPE nº XX051XX, autorizado pela Portaria Ipea n° 110, de 12 de julho de 2021, publicada no Boletim Extra nº 03, de 13 de julho de 2021, e renovado internamente pela Portaria Ipea n° 167, de 19 de agosto de 2022, publicado no Boletim Extra nº 04, de 19 de agosto de 2022.
PORTARIA DIDES Nº 19, DE 8 DE FEVEREIRO DE 2023Nº 19;;;Conceder aposentadoria voluntária ao servidor GILMAR OLIVEIRA BRENTINI Auxiliar Técnico, AT-NI-S-IV, do Quadro de Pessoal desta Fundação, matrícula SIAPE nº XX650XX, com fundamento no art. 20, § 2º, da Emenda Constitucional nº 103, de 12 de novembro de 2019, declarando em decorrência a vacância do cargo (processo nº 03001.000453/2023-19).
PORTARIA IPEA Nº 22, DE 10 DE FEVEREIRO DE 2023Nº 22;;;Art. 1º Ceder o servidor RODRIGO OCTÁVIO ORAIR, Matrícula SIAPE nº XX051XX, ocupante do cargo de Técnico de Planejamento e Pesquisa, pertencente ao Quadro de Pessoal da Fundação Instituto de Pesquisa Econômica Aplicada - IPEA, para exercer cargo comissionado de Diretor de Programa da Secretaria Extraordinária de Reformas Tributárias, código CCE 3.15, do Ministério da Fazenda.
PORTARIA IPEA Nº 23, DE 10 DE FEVEREIRO DE 2023Nº 23;;;Art. 1º Reverter a aposentadoria voluntária concedida a servidora ILMA TAVARES DE SOUZA, matrícula SIAPE nº XX692XX, Cargo de Auxiliar Técnico, Nível Intermediário, Classe S, Padrão IV, a qual deverá retornar à atividade neste mesmo cargo.
PORTARIA DE PESSOAL SE/ MPO Nº 69, DE 10 DE FEVEREIRO DE 2023Nº 69;SIAPE nº 1283261;;"Designar o servidor FERNANDO GAIGER SILVEIRA, matrícula SIAPE nº 1283261, para exercer o encargo de substituto eventual do cargo em comissão de Diretor, código FCE 1.15, da Diretoria de Desenvolvimento Institucional, do Instituto de Pesquisa Econômica Aplicada - IPEA , nos afastamentos, impedimentos legais ou regulamentares do titular e na vacância do cargo;"
PORTARIA DIDES Nº 20, DE 10 DE FEVEREIRO DE 2023Nº 20;;;"Conceder pensão civil a Vanderly Brito de Araújo, cônjuge do servidor Roberto Rodrigues Corrêa de Araújo, aposentado no cargo de Técnico de Planejamento e Pesquisa, Código 403020, Classe S, Padrão IV, matrícula SIAPE XX771XX, com fundamento nos artigos 215, 217, inciso I, e 222, inciso VII, alínea ""b"", item 6, da Lei n.º 8.112/1990, alterada pela Lei n.º 13.135/2015, c/c os artigos 23 e 24 da Emenda Constitucional 103/2019 e com o artigo 15 da Lei n.º 10.887/2004, com vigência a partir de 25 de janeiro de 2023, data do falecimento do servidor."
PORTARIA IPEA Nº 25, DE 8 DE FEVEREIRO DE 2023Nº 25;;;Designar o servidor IGOR FERRAZ DA FONSECA, Matrícula SIAPE nº XX516XX, para, excepcionalmente, em virtude de ausência do titular e do substituto, responder pelas atribuições de Coordenador de Democracia e Interações Socioestatais - CODEM, código FCE 1.10, da Coordenação-Geral de Estudos e Políticas do Estado, das Instituições e da Democracia - CGEST, da Diretoria de Estudos e Políticas do Estado, das Instituições e da Democracia - DIEST, do IPEA, no período de 30 de janeiro de 2023 a 1º de março de 2023.
